X_id,dispatch_ts,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,lat,long,deadzone_area
33374,2015-09-13 02:48:51+00,mv,Other,,NULL,NULL,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
34157,2016-08-12 18:14:31+00,mv,Intersection,,WESTERN AVE,MACKIN ST,752244.38,2957045.91,42.36173533230037,-71.14450659321668,Middle Left
34187,2016-02-09 14:25:16+00,mv,Street,BROOKLINE AVE,BURLINGTON AVE,FULLERTON ST,763919.7,2951286.27,42.34530037453312,-71.10054716529363,Fenway
34203,2019-07-18 12:39:58+00,mv,Street,BROOKLINE AVE,FENWAY PLZ,OVERLAND ST,764338.53,2951485.9,42.346188876950535,-71.09960292572538,Fenway
34263,2017-07-12 08:29:06+00,mv,Street,BROOKLINE AVE,PILGRIM RD,SHORT ST,763210.6,2950059.49,42.34226134108303,-71.10375340498555,Fenway
34269,2016-02-07 02:39:47+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
34375,2020-10-16 23:53:26+00,mv,Street,CHARLESBANK RD,,,771753.33,2956796.09,42.36080244132861,-71.0723376846737,Esplanade
34468,2024-05-03 02:10:13+00,mv,Street,SCHOOL ST,S WAVERLY ST,BRONSDON ST,752604.02,2956460.87,42.36032263720068,-71.14316974533472,Middle Left
34540,2021-02-24 13:10:38+00,mv,Intersection,,LEO M BIRMINGHAM PKWY,SOLDIERS FIELD RD,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
34620,2022-06-10 14:50:05+00,mv,Intersection,,LEO M BIRMINGHAM PKWY,WESTERN AVE,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
34963,2021-11-28 06:04:35+00,mv,Street,CHARLESBANK RD,,,771652.04,2956831.65,42.36089730090592,-71.0727252634399,Esplanade
35052,2018-05-01 13:15:33+00,mv,Intersection,,BROOKLINE AVE,PARK DR,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
35152,2018-12-28 15:54:44+00,mv,Intersection,,FENWAY,BROOKLINE AVE,763429.53,2950182.17,42.34276561687913,-71.10323942942463,Fenway
35463,2016-11-14 12:43:49+00,mv,Street,DAVID G MUGAR WAY,CHARLESBANK RD,JAMES J STORROW MEMORIAL DR,771559.33,2956462.29,42.3598938412776,-71.07224024824045,Esplanade
35570,2023-03-25 03:15:51+00,mv,Street,CHARLESBANK RD,,,771754.87,2956802,42.36081712080691,-71.0723417953817,Esplanade
35661,2023-03-21 09:55:01+00,mv,Street,BROOKLINE AVE,BURLINGTON AVE,FENWAY PLZ,764008.8,2951228.35,42.345317100647705,-71.10052976893243,Fenway
35732,2023-02-07 09:00:20+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
35994,2016-04-30 17:37:54+00,mv,Other,,NULL,NULL,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
35995,2018-09-18 02:30:03+00,mv,Other,,,,771753.33,2956796.09,42.3608039617049,-71.07232774082664,Esplanade
36170,2021-08-21 19:11:04+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
36394,2019-08-04 23:22:12+00,mv,Intersection,,PARK DR,PETERBOROUGH ST,763822.72,2950088.4,42.34250327896181,-71.10178667265211,Fenway
36746,2020-12-09 17:49:05+00,mv,Intersection,,PARK DR,BROOKLINE AVE,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
37068,2015-12-15 01:19:25+00,mv,Other,,NULL,NULL,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
37221,2015-08-23 07:17:03+00,mv,Street,SOLDIERS FIELD RD,WESTERN AVE,TELFORD ST,752154.89,2957331.35,42.36251229542794,-71.1448249128456,Middle Left
37280,2021-01-06 00:50:09+00,mv,Street,CHARLESBANK RD,,,771753.33,2956796.09,42.36080244132861,-71.0723376846737,Esplanade
37716,2017-07-23 11:56:57+00,mv,Intersection,,KILMARNOCK ST,PETERBOROUGH ST,764417.15,2950314.65,42.34311647740015,-71.09958400550876,Fenway
