lon,lat,n
-87.6738072384,41.9292725315,72
-87.674506788,41.8923550478,35
-87.6746905879,41.8558061709,85
-87.6747137902,41.7276040948,1
-87.6747191345,41.8995897957,112
-87.6750627566,41.9123643542,87
-87.6750856208,41.8704150003,121
-87.6750951155,41.9160052737,127
-87.6751020589,41.8161780153,5
-87.6753116216,41.906025969,560
-87.6758219283,41.935983574,37
-87.6759539319,41.9414224785,23
-87.6760627395,41.9450692053,18
-87.6761824959,41.9505456965,96
-87.676373281,41.9578433752,177
-87.6765780714,41.9651417087,256
-87.6769677545,41.8048535215,1
-87.6772070213,41.702776687,1
-87.67861897,42.0091500631,231
-87.6786882109,41.9942660943,104
-87.6788459662,41.9725625375,368
-87.6793974791,41.8922767078,16
-87.6796002867,41.8995065476,72
-87.6799067059,41.8266634583,3
-87.6799547678,41.9204515116,103
-87.680162272,42.0160105638,2287
-87.6806541164,41.8773834707,46
-87.6808269032,41.9413656601,45
-87.6809282247,41.9450101512,33
-87.6809803011,41.9357494591,40
-87.6810252307,41.9067713317,48
-87.6813558293,41.8335178865,2
-87.681993542,41.9833308063,221
-87.6829962096,41.8441449609,11
-87.683227168,41.8555013528,8
-87.6835062305,41.9504425991,133
-87.6836429218,41.9119723006,156
-87.683718102,41.957735565,251
-87.6838259399,41.9159097884,66
-87.6838545561,41.9631849658,122
-87.6840183712,41.9668340674,207
-87.6841474493,41.8847677845,71
-87.684198195,42.0013132491,563
-87.6842894005,41.8921964292,15
-87.684490122,41.8994222543,60
-87.6846859492,41.9067077917,37
-87.6849139261,41.8702687225,7
-87.6850821101,41.9212731053,58
-87.6851318314,41.8786440899,6
-87.685362024,41.9286190509,212
-87.6855896618,41.7611057444,1
-87.6856158172,41.9413116172,15
-87.6857782135,41.9449467539,11
-87.6859131333,42.0084870082,201
-87.6860768812,41.9942252345,143
-87.6860998978,41.972035672,68
-87.6862228603,41.7828367169,3
-87.6863834792,41.7901713682,1
-87.686845262,41.8174924901,26
-87.6871159899,42.0157199072,633
-87.6886749004,41.8713514005,10
-87.6891259086,41.8919483818,17
-87.6893191901,41.8994457693,33
-87.6895798343,41.9066385418,34
-87.6897112748,41.91213208,10
-87.689951469,41.9216471318,148
-87.6903405275,41.7462155842,1
-87.6907541768,41.8281199775,9
-87.6907750098,41.9448137543,154
-87.6914304807,41.8484115955,1
-87.6915302475,41.9576519161,58
-87.6920317308,41.817397869,2
-87.6922563262,41.9157411934,75
-87.6922587601,41.9631533106,18
-87.6925159284,41.8637871234,9
-87.6932651023,41.7736412828,1
-87.693325868,41.9354389148,85
-87.693341249,41.7772872248,1
-87.6935387966,41.853834685,11
-87.6936374936,42.0013159243,211
-87.6937939017,41.8759663,4
-87.6940010612,41.9725808001,298
-87.6940200973,41.9668063463,123
-87.6940960217,41.9798553089,168
-87.6941973701,41.9005603836,67
-87.6944151909,41.9868086263,186
-87.6945323419,41.9208017043,136
-87.6945342821,41.9079652463,6
-87.6945983,41.9120843819,7
-87.6946307194,41.994059824,431
-87.6949637498,42.0085407611,356
-87.6950866748,41.9284649843,18
-87.6967563395,41.8382957974,5
-87.6975319159,41.8462576853,9
-87.6983923087,41.7835960152,27
-87.6985727117,41.7899657482,3
-87.6986740167,41.8783232529,3
-87.698781345,41.7972547246,2
-87.6988915914,41.885621155,16
-87.6989469155,41.9357360896,14
-87.6990971733,41.8081895757,5
-87.699310391,41.8145620008,1
-87.6993744036,41.8974257653,4
-87.6994797204,41.9120734929,9
-87.6995967918,41.9157074085,13
-87.6996630419,42.0156967498,1477
-87.6997544065,41.9211259143,180
-87.6999685912,41.9284315635,147
-87.7006919027,41.8607622624,5
-87.7008239559,41.867823493,1
-87.7012131039,41.9557717866,27
-87.701330291,41.9428725376,111
-87.701802904,42.0008748252,120
-87.7018845586,41.9047120004,8
-87.701941074,41.9768117505,35
-87.7020071282,41.9504044107,150
-87.7020985409,41.9595267906,23
-87.7021052472,41.8916970451,6
-87.702699356,41.8481796587,4
-87.7027334697,41.9645069548,106
-87.7035622954,41.8773599627,1
-87.7036682732,41.9868950432,43
-87.7038545435,41.9357064711,54
-87.7043657112,41.9119719687,9
-87.7044795753,41.9156132381,2
-87.7046056338,42.0074469243,69
-87.704648384,41.9210845826,31
-87.7048934862,41.9941436461,943
-87.7049072355,41.9283913974,160
-87.7055526328,41.87161966,1
-87.7057767012,41.9711428078,41
-87.7061361123,41.8818833615,3
-87.7078663416,41.8615808621,2
-87.7084167286,41.7897875353,2
-87.7084530037,41.8773046203,1
-87.7086378647,41.7987971043,1
-87.7088084239,41.8986992296,11
-87.7091932868,41.8152739592,1
-87.7099873375,41.9374939696,29
-87.7100873222,41.9118565923,9
-87.7101956338,41.915496209,19
-87.7103539349,41.9066839592,9
-87.7103591445,41.9210196071,39
-87.7108482084,41.9667749433,49
-87.7118213953,41.7382280867,1
-87.7119742544,41.9293297134,224
-87.7123276017,41.9255672296,42
-87.7123574755,41.9336759885,46
-87.71245035,41.8480722286,2
-87.7128142315,41.9502120955,57
-87.7128745809,41.8626614463,2
-87.7129731725,41.9592101847,14
-87.7130900568,41.9555841154,44
-87.7132293348,41.9631157548,53
-87.7133688039,41.9865581808,66
-87.7134353285,41.9702449819,86
-87.7138533806,41.8850752975,6
-87.7142147077,41.8681324282,3
-87.7152528177,41.9209608656,43
-87.715732633,41.8566586145,2
-87.7164304157,41.9782942489,253
-87.717503858,41.942859303,155
-87.7177791062,41.8762234405,3
-87.7182200222,41.7896614748,1
-87.7186707951,41.8917542026,6
-87.7191065101,41.8049842842,1
-87.7195241482,41.8388061944,1
-87.719625507,41.8424806367,4
-87.7201851765,41.8625777773,3
-87.7210167687,41.964652354,42
-87.7212485554,41.919181737,6
-87.7213158985,41.8990616211,6
-87.7215097031,41.9117888585,1
-87.7215382944,41.9063227109,9
-87.7215645012,41.9261558167,18
-87.7218357934,41.9227117587,19
-87.7219444889,41.8474342025,2
-87.7220523299,41.9337850524,28
-87.7223302976,41.9374017942,41
-87.7224042748,41.855238198,1
-87.722610871,41.9500776349,5
-87.7228130756,41.8710123117,1
-87.7228222513,41.9573606908,54
-87.7230765587,41.8771009333,1
-87.7231689742,41.969205937,7
-87.7237819658,41.9725977673,19
-87.723804133,41.8301172027,2
-87.7239678299,41.9900642527,111
-87.724267094,41.9297590466,18
-87.7258910154,41.9646477329,5
-87.7268701739,41.7513371286,2
-87.7282271686,41.8843342115,2
-87.7289580948,41.8712250372,4
-87.7296791339,41.9196352314,4
-87.7299764859,41.7749312653,2
-87.7301873353,41.7822169695,3
-87.7303017582,41.9357450582,5
-87.7306842554,41.9499744545,26
-87.7308284896,41.804147373,3
-87.7308987849,41.9572641084,27
-87.7310024842,41.9426995777,27
-87.7317118534,41.7456228824,1
-87.7318327391,41.9653625868,31
-87.7320590255,41.7622466529,3
-87.7322869198,41.9152908359,5
-87.7324696377,41.8624142737,3
-87.7328887938,41.8770442134,2
-87.7335180512,41.8952576428,19
-87.7338570193,41.9061678698,7
-87.7339509975,41.9116665881,2
-87.7341424687,41.9234789451,1
-87.7350927012,41.8417062238,1
-87.7356259487,41.9278531896,8
-87.7360839271,41.9808436155,3
-87.7375361538,41.919825504,1
-87.7376199977,41.9350581526,5
-87.7381418906,41.9498764323,14
-87.7383939059,41.9587978628,34
-87.7385692263,41.9425542279,6
-87.7389372047,41.97153938,44
-87.7400551895,41.991119555,34
-87.7427878769,41.9646361993,12
-87.7438056558,41.9192261876,1
-87.7441073767,41.9279207294,1
-87.7441731843,41.9076884994,2
-87.7443896126,41.935214804,8
-87.7444291755,41.8914022426,1
-87.7445755674,41.8767621307,4
-87.7452432048,41.9526648947,21
-87.7452828446,41.7966403342,5
-87.7471543225,41.9424881553,20
-87.7478743394,41.8841446699,33
-87.7509342894,41.785998518,2960
-87.7509798603,41.9195645564,4
-87.7513626916,41.927819073,16
-87.7516489576,41.9351139349,14
-87.7520115624,41.8986254245,2
-87.7521184147,41.9497090767,7
-87.7522233681,41.9773225823,3
-87.7524091367,41.9606756968,55
-87.754352834,41.9423832777,5
-87.7560677045,41.86911914,4
-87.7575198647,41.7964631061,1
-87.7575974858,41.9944980381,67
-87.7598126285,41.8765928828,1
-87.759857019,41.970288894,161
-87.7600980476,41.8837934871,3
-87.7603493864,41.8910854233,2
-87.7606043246,41.8985493636,2
-87.7607889112,41.920126404,3
-87.7608129894,41.905820977,7
-87.7608843709,41.9128367835,2
-87.7610398751,41.9261631049,6
-87.7614215937,41.9297962382,1
-87.761463375,41.9349868535,7
-87.7617177214,41.9422905548,20
-87.7619249793,41.9770023043,39
-87.761958275,41.9495916894,14
-87.7622859818,41.9605182177,26
-87.7689702414,41.985916382,229
-87.7698815509,41.88366198,4
-87.770122842,41.8909693802,7
-87.770385079,41.898425258,1
-87.7705377644,41.9202651208,1
-87.7706325599,41.9056934239,1
-87.7707373282,41.9275608953,2
-87.7712319246,41.9348600057,12
-87.771428091,41.776036096,1
-87.7714955258,41.9421694153,65
-87.771758223,41.9494732189,1
-87.7720438223,41.9567980899,8
-87.7722649905,41.9645680449,9
-87.7726169108,41.9729552005,6
-87.7734709274,41.9800778511,6
-87.7749947889,42.0020154637,12
-87.7753675003,41.9129253704,7
-87.780270163,41.9201527839,2
-87.7809529189,41.9347280725,11
-87.7815190801,41.9493532323,6
-87.7818419914,41.9567787036,21
-87.7819640228,41.964474648,3
-87.7830132797,41.9895838002,16
-87.7832380336,41.9752809258,9
-87.7880088189,41.9275798469,14
-87.7915883505,41.7957602563,1
-87.7942692959,41.9956031347,22
-87.7965237763,41.9418076152,7
-87.7968155178,41.9146023652,8
-87.7968280466,41.949125166,3
-87.7973989844,41.9792045509,5
-87.7976006842,41.9255880881,19
-87.7976348995,41.9721321191,2
-87.7986359527,41.9344868721,12
-87.8044048124,41.9887026463,8
-87.8123716627,41.9415765388,1
-87.8130981301,42.0056080233,23
-87.8135878649,42.0152547387,3
-87.8163323526,41.999110415,1
-87.8180418313,41.9889673837,5
-87.8197891138,41.978068292,21
-87.8221709921,41.9414908524,1
-87.8266761823,41.9805068217,22
-87.8415864319,41.9822729289,210
-87.8443594944,41.9753378261,2
-87.8773053996,41.9827750091,560
-87.9030396611,41.9790708201,31154
NA,NA,55
