lon,lat,n
-87.6720809941,41.9869530579,13
-87.672538401,41.9943810196,20
-87.6727239593,42.0090182269,162
-87.672920435,41.8631181033,5
-87.6729255394,41.8268330147,1
-87.6733337784,42.0160464924,186
-87.6735740325,42.0016981937,75
-87.6738072384,41.9292725315,6
-87.6747191345,41.8995897957,2
-87.6750627566,41.9123643542,3
-87.6750856208,41.8704150003,14
-87.6750951155,41.9160052737,15
-87.6751020589,41.8161780153,1
-87.6753116216,41.906025969,36
-87.6758219283,41.935983574,3
-87.6759539319,41.9414224785,1
-87.6760627395,41.9450692053,2
-87.6761824959,41.9505456965,11
-87.676373281,41.9578433752,3
-87.6765780714,41.9651417087,5
-87.67861897,42.0091500631,26
-87.6786882109,41.9942660943,27
-87.6788459662,41.9725625375,10
-87.6793974791,41.8922767078,1
-87.6796002867,41.8995065476,4
-87.680162272,42.0160105638,220
-87.6806541164,41.8773834707,3
-87.6809282247,41.9450101512,1
-87.6809803011,41.9357494591,2
-87.6810252307,41.9067713317,1
-87.681993542,41.9833308063,40
-87.6829962096,41.8441449609,1
-87.683227168,41.8555013528,1
-87.6835062305,41.9504425991,3
-87.6836429218,41.9119723006,7
-87.683718102,41.957735565,13
-87.6838259399,41.9159097884,6
-87.6838545561,41.9631849658,2
-87.6840183712,41.9668340674,12
-87.6841474493,41.8847677845,6
-87.684198195,42.0013132491,81
-87.684490122,41.8994222543,4
-87.6846859492,41.9067077917,4
-87.6849139261,41.8702687225,1
-87.6850821101,41.9212731053,2
-87.6851318314,41.8786440899,2
-87.685362024,41.9286190509,9
-87.6856158172,41.9413116172,1
-87.6859131333,42.0084870082,24
-87.6860768812,41.9942252345,38
-87.6860998978,41.972035672,6
-87.686845262,41.8174924901,1
-87.6871159899,42.0157199072,55
-87.6886749004,41.8713514005,2
-87.6891259086,41.8919483818,2
-87.6893191901,41.8994457693,3
-87.6895798343,41.9066385418,2
-87.6897112748,41.91213208,4
-87.689951469,41.9216471318,3
-87.6907750098,41.9448137543,19
-87.6914304807,41.8484115955,1
-87.6915302475,41.9576519161,1
-87.6922563262,41.9157411934,4
-87.6925159284,41.8637871234,1
-87.693325868,41.9354389148,2
-87.693341249,41.7772872248,1
-87.6936374936,42.0013159243,58
-87.6937939017,41.8759663,2
-87.6940010612,41.9725808001,17
-87.6940200973,41.9668063463,5
-87.6940960217,41.9798553089,54
-87.6941973701,41.9005603836,6
-87.6944151909,41.9868086263,16
-87.6945323419,41.9208017043,9
-87.6945342821,41.9079652463,2
-87.6946307194,41.994059824,45
-87.6949637498,42.0085407611,26
-87.6950866748,41.9284649843,3
-87.6980008039,41.7681062939,1
-87.6986740167,41.8783232529,1
-87.6988915914,41.885621155,2
-87.6993744036,41.8974257653,4
-87.6996630419,42.0156967498,87
-87.6997544065,41.9211259143,18
-87.6999685912,41.9284315635,3
-87.7006919027,41.8607622624,1
-87.7008239559,41.867823493,1
-87.701330291,41.9428725376,6
-87.701802904,42.0008748252,12
